,pageNo,word,number,pronunciation,meaning,pos,IPA [B],language,class,sentence,source
663,,অক্লেশে,১,,বিনা পরিশ্রমে,,,,,,
664,,অক্লেশে,১,,সহজে,,,,,,
665,,অক্ষ,১,অক্‌খো,ক্রীড়াবিশেষ,বি,,স. [সংস্কৃত],,নির্জীব শুষ্ক অক্ষকে শুকিয়ে দিচ্ছে।,
666,,অক্ষ,১,,পাশা,,,,,,
667,,অক্ষ,২,,মেরুকেন্দ্র রেখা,,,,ভূগো [ভূগোল],,
668,,অক্ষ,৩,,রুদ্রাক্ষ বীজ,,,,,হেরিবে তাহার অক্ষরাজিতে তোমারি সে নামমালা,
669,,অক্ষ,৪,,বিষুবরেখা থেকে কোনো স্থানের কৌণিক দুরত্ব,,,,,,
670,,অক্ষ,৫,,ইন্দ্রিয়,,,,,,
671,,অক্ষ,৬,,চক্ষু,,,,,কুম্ভকার চক্র যেন ঘুরে দুই অক্ষ,
672,,অক্ষক্রীড়া,১,,পাশাখেলা,বি,,,,,
673,,অক্ষটি,১,,পৃথক ভুক্তি,,,,,,
674,,অক্ষত,১,,পৃথক ভুক্তি,,,,,,
675,,অক্ষপাদ,১,,ন্যায়শাস্ত্র-প্রণেতা,,,,,,
676,,অক্ষপাদ,১,,গৌতম ঋষি,,,,,,
677,,অক্ষবাট,১,,কুস্তির আখড়া,বি,,,,,
678,,অক্ষবাট,২,,পাশা খেলার আড্ডা,,,,,,
679,,অক্ষমালা,১,,রুদ্রাক্ষমালা,বি,,,,,
680,,অক্ষমালা,১,,জপমালা,,,,,,
681,,অক্ষসূত্র,১,,রুদ্রাক্ষমালা,বি,,,,,
682,,অক্ষসূত্র,১,,জপমালা,,,,,,
683,,অক্ষবৃত্ত,১,,বিষুবরেখা থেকে সমদূরবর্তী উত্তর ও দক্ষিণের কল্পিত রেখা,বি,,,ভূগো [ভূগোল],,
684,,অক্ষরেখা,১,,বিষুবরেখা থেকে সমদূরবর্তী উত্তর ও দক্ষিণের কল্পিত রেখা,,,,,,
685,,অক্ষহার,১,,জপমালার বীজের হার,বি,,,,"অঙ্গে পরিব গৈরিক বাস, গলায় অক্ষহার",
686,,অক্ষত,১,অক্‌খতো,ক্ষতশূন্য,বিণ,,স. [সংস্কৃত],,,
687,,অক্ষত,১,,আঘাতহীন,,,,,,
688,,অক্ষত,২,,নির্দোষ,,,,,,
689,,অক্ষত,২,,নিখুঁত,,,,,,
690,,অক্ষত,৩,,অখণ্ডিত,,,,,,
691,,অক্ষত,৩,,অচ্ছিন্ন,,,,,,
692,,অক্ষত,১,,আতপ চাল,বি,,,,,
693,,অক্ষতদেহ,১,,ক্ষতহীন দেহ,বি,,,,,
694,,অক্ষতদেহ,১,,নিখুঁত বা অবিকৃত শরীর,,,,,,
695,,অক্ষতদেহ,১,,ক্ষতহীন দেহ বিশিষ্ট,বিণ,,,,,
696,,অক্ষতদেহ,১,,অবিকৃত অঙ্গবিশিষ্ট,,,,,,
697,,অক্ষতশরীর,১,,ক্ষতহীন দেহ,বি,,,,,
698,,অক্ষতশরীর,১,,নিখুঁত বা অবিকৃত শরীর,,,,,,
699,,অক্ষতশরীর,১,,ক্ষতহীন দেহ বিশিষ্ট,বিণ,,,,,
700,,অক্ষতশরীর,১,,অবিকৃত অঙ্গবিশিষ্ট,,,,,,
701,,অক্ষতদেহে,,,,ক্রিবিন,,,,,
702,,অক্ষতশরীরে,,,,ক্রিবিন,,,,,
703,,অক্ষতযোনি,১,,পুরুষসঙ্গম হয়নি এমন নারী,বিণ,,,,,
704,,অক্ষতযোনি,১,,কুমারী,,,,,,
705,,অক্ষম,১,অক্‌খম্‌,ক্ষমতাহীন,বিণ,,স. [সংস্কৃত],,,
706,,অক্ষম,১,,দুর্বল,,,,,,
707,,অক্ষম,২,,অসমর্থ,,,,,,
708,,অক্ষম,২,,অপটু,,,,,,
709,,অক্ষম,৩,,অযোগ্য,,,,,,
710,,অক্ষমতা,,,,বি,,,,,
711,,অক্ষমা ২,১,অক্‌খমা,ক্রোধ,বি,,স. [সংস্কৃত],,,
712,,অক্ষমা ২,১,,ক্ষমাশূন্যতা,,,,,,
713,,অক্ষমা ২,২,,অসহিষ্ণুতা,,,,,,
714,,অক্ষয়,১,অক্‌খয়্‌,ক্ষয়হীন,বিণ,,স. [সংস্কৃত],,,
715,,অক্ষয়,১,,অমর,,,,,,
716,,অক্ষয়,১,,চিরস্থায়ী,,,,,,
717,,অক্ষয়,২,,অফুরন্ত,,,,,,
718,,অক্ষয়কীর্তি,১,,চিরদিন বর্তমান থাকে এরুপ কাজ বা প্রতিষ্ঠান,,,,,,
719,,অক্ষয়কীর্তি,২,,চিরস্থায়ী খ্যাতি বা যশ,,,,,,
720,,অক্ষয়তৃতীয়া,১,,চান্দ্র বৈশাখের শুক্লাতৃতীয়া,বি,,,,,
721,,অক্ষয়তৃতীয়া,১,,হিন্দুপর্ববিশেষ,,,,,,
722,,অক্ষয়লোক,১,,স্বর্গ,বি,,,,,
723,,অক্ষয়লোক,১,,বেহেশত,,,,,,
724,,অ-ক্ষর,১,অক্‌খর্‌,ক্ষরণশূন্য,বিণ,,স. [সংস্কৃত],,অক্ষরজ্ঞান যদি সকলেই পাই,
725,,অ-ক্ষর,১,,স্থিতিশীল,,,,,অ-ক্ষর অব্যয়,
726,,অক্ষর,১,অক্‌খোর্‌,বর্ণ,বিণ,,স. [সংস্কৃত],,,
727,,অক্ষর,১,,হরফ,,,,,,
728,,অক্ষর,১,,একেবারে উচ্চারণযোগ্য শব্দের ক্ষুদ্রতম অংশ,,,,,,
729,,অক্ষর,২,,সিসা নির্মিত হরফ,,,,,,
730,,অক্ষরজীবক,১,,লিপিকর,বি,,,,,
731,,অক্ষরজীবক,১,,লেখক,,,,,,
732,,অক্ষরজীবক,১,,মুদ্রাকর,,,,,,
733,,অক্ষরডম্বর,১,,অক্ষরের আড়ম্বরযুক্ত বা ঘটাপূর্ণ,বিণ,,,,বাণভট্টের হর্ষচরিত অক্ষরডম্বর হলেও কেবলয়াত্র ধ্বনিসার নয়,
734,,অক্ষর পরিচয়,১,,বর্ণজ্ঞান,বি,,,,,
735,,অক্ষর পরিচয়,২,,পাঠারম্ভ,,,,,,
736,,অক্ষর পরিচয়,৩,,সামান্যতম জ্ঞান,,,,,,
737,,অক্ষর বিন্যাস,১,,শ্রেণিবদ্ধভাবে অক্ষর সাজানো বা লিখন,,,,,,
738,,অক্ষর বিন্যাস,১,,বর্ণসংস্থাপন,,,,,,
739,,অক্ষরমালা,১,,বর্ণমালা,বি,,,,,
740,,অক্ষরে অক্ষরে,১,,যথাযথভাবে,ক্রিবিন,,,,,
741,,অক্ষরে অক্ষরে,১,,অবিকল,,,,,,
742,,অক্ষরে অক্ষরে,১,,হুবহু,,,,,,
743,,অক্ষরে অক্ষরে,১,,ঠিক ঠিক,,,,,,
744,,অক্ষরান্তরীকরণ,১,,এক ভাষার শব্দকে অন্য ভাষায় অক্ষরে প্রকাশ করা,বি,,,,,
745,,অক্ষরান্তরীকরণ,১,,প্রতিবর্ণীকরণ,,,,,,
746,,অক্ষরান্তরীকরণ,১,,অনুলিখন,,,,,,
747,,অক্ষাংশ,১,অক্‌খাঙ্‌শো,*,বি,,স. [সংস্কৃত],ভূগো [ভূগোল],,
748,,অক্ষার,১,অক্‌খার্‌,যা ক্ষার নয়,বি,,স. [সংস্কৃত],,,
749,,অক্ষারলবণ,১,,সৈন্ধবাদি লবণ,বি,,,,,
750,,অক্ষি,১,ওক্‌খি,চোখ,বি,,স. [সংস্কৃত],,চকিত রহিল অক্ষি পালক পাসরি,
751,,অক্ষি,১,,আঁখি,,,,,,
752,,অক্ষিকাচ,১,,পরকলা,বি,,,,,
753,,অক্ষিকোটর,১,,চোখের খোল,বি,,,,,
754,,অক্ষিগত,১,,দৃষ্টিগোচর,বিণ,,,,,
755,,অক্ষিগোলক,১,,চোখের অভ্যন্তরস্থ সমস্ত গোলাকার অংশ,বি,,,,,
756,,অক্ষিতারকা,১,,চোখের তারা,বি,,,,,
757,,অক্ষিপক্ষ্ম,১,,চোখের পাতার লোম,বি,,,,,
758,,অক্ষিলোম,১,,চোখের পাতার লোম,বি,,,,,
759,,অক্ষিপট,১,,অক্ষিগোলকের পশ্চাদ্‌ভাগস্থ অতি সূক্ষ্ম ঝিল্লি বা পর্দা,বি,,,প্রাণি [প্রাণিবিজ্ঞান],,
760,,অক্ষিপটল,১,,চোখের পাতা,বি,,,,,
761,,অক্ষিপুট,১,,চোখের পাতা,বি,,,,,
762,৭,অক্ষিপুট,,,,,,,,,
